observer,oc,oceu,ocel,date,source
Schwartz,-2.448,2.592,2.592,2008-03-05 22:49:52.320000000,ETD
Naves,2.736,5.472,5.472,2008-02-29 16:00:37.440000000,ETD
Muler g.,1.584,3.888,3.888,2008-02-29 15:59:28.319999744,ETD
Roe,1.152,1.152,1.152,2008-02-29 15:59:02.399999744,ETD
Gregorio j.,-2.448,4.32,4.32,2008-02-29 15:55:26.400000256,ETD
Gary,-5.04,4.32,4.32,2008-02-29 15:52:50.879999744,ETD
Srdoc,3.888,4.32,4.32,2008-02-24 09:07:29.280000000,ETD
Gary,3.024,3.456,3.456,2008-02-21 17:39:24.479999744,ETD
Filip Walter,3.4,1.6,1.6,2008-02-16 10:45:17.546501632,ExoClock observation
Alessandro Marchini,1.6,2.9,2.9,2008-02-16 10:43:29.546483968,ExoClock observation
Poddaný s.,1.152,1.584,1.584,2008-02-16 10:43:06.240000256,ETD
Marchini et al.,-2.448,4.752,4.752,2008-02-16 10:39:30.240000000,ETD
Vanmunster,-2.592,2.592,2.592,2008-02-16 10:39:21.600000256,ETD
Dufoer,-4.032,3.6,3.6,2008-02-16 10:37:55.200000000,ETD
Brát l.,-4.32,2.592,2.592,2008-02-16 10:37:33.600000256,ETD
Salvaggio & marino,-6.48,1.44,1.44,2008-02-16 10:35:28.320000000,ETD
Srdoc,-9.792,2.592,2.592,2008-02-16 10:32:09.599999744,ETD
Walter,1.44,2.736,2.736,2008-02-13 19:16:10.560000256,ETD
Schwartz,0.144,3.024,3.024,2008-02-13 19:14:52.800000256,ETD
Mendez,2.16,3.168,3.168,2008-02-08 12:22:27.840000000,ETD
Ribas et al. 2008,0.8,0.7,0.7,2008-02-08 12:21:03.311876352,ExoClock literature
Staels,0.72,2.16,2.16,2008-02-08 12:21:01.440000256,ETD
Marchini et al,0.144,4.032,4.032,2008-02-08 12:20:26.879999744,ETD
Alessandro Marchini,-2.4,2.7,2.7,2008-02-08 12:17:51.311911936,ExoClock observation
Gary,0.72,2.16,2.16,2008-02-05 20:53:48.480000000,ETD
Naves,-4.896,3.6,3.6,2008-01-31 13:53:45.599999744,ETD
Srdoc,8.064,2.16,2.16,2008-01-23 15:45:04.320000256,ETD
Bean et al. 2008,0.6,1.4,1.4,2008-01-02 11:59:52.883804416,ExoClock literature
Gary,-8.352,2.88,2.88,2007-12-30 20:23:42.720000256,ETD
Bean et al. 2008,-1.4,1.3,1.3,2007-12-28 05:03:27.394060544,ExoClock literature
Hubble,-1.152,0.3744,0.3744,2007-12-20 06:42:06.422399744,ETD
Bean et al. 2008,0.1,1.2,1.2,2007-12-12 08:21:40.924882176,ExoClock literature
Bean et al. 2008,0.3,1.3,1.3,2007-12-09 16:54:40.180022016,ExoClock literature
Bean et al. 2008,0.4,1.0,1.0,2007-12-04 10:00:20.690278656,ExoClock literature
Southworth 2008,0.1,0.2,0.2,2007-06-28 18:47:17.998446848,ExoClock literature
Gillon et al. 2007,-0.3,0.2,0.2,2007-06-28 18:46:53.998456320,ExoClock literature
Southworth 2008,-0.5,0.2,0.2,2007-06-28 18:46:41.998440960,ExoClock literature
Deming et al. 2007,-0.8,0.2,0.2,2007-06-28 18:46:23.998458112,ExoClock literature
Spitzer,-1.008,0.1584,0.1584,2007-06-28 18:46:14.304000000,ETD
Gillon et al. (2007a,-1.296,0.216,0.216,2007-06-28 18:45:52.704000256,ETD
Spitzer,-1.872,0.2304,0.2304,2007-06-28 18:45:20.736000000,ETD
Shporer et al. 2009,0.6,0.4,0.4,2007-05-30 16:48:27.804934656,ExoClock literature
Gary,-0.864,,,2007-05-30 16:46:59.520000000,ETD
Shporer et al. 2009,-2.3,0.6,0.6,2007-05-25 09:51:08.315202048,ExoClock literature
Shporer et al. (2008),-2.88,1.1376,1.1376,2007-05-25 09:50:34.368000000,ETD
Shporer et al. 2009,-1.3,0.4,0.4,2007-05-22 18:24:55.570322944,ExoClock literature
Turner et al. 2016,0.4,0.1,0.1,2007-05-17 11:32:12.080622080,ExoClock literature
Cáceres et al. 2009,-1.0,0.7,0.7,2007-05-17 11:30:48.080635136,ExoClock literature
Vanmunster,-1.728,,,2007-05-17 11:30:08.064000000,ETD
Shporer et al. 2009,-0.5,0.1,0.1,2007-05-14 20:04:05.335757824,ExoClock literature
Shporer et al. 2009,0.4,0.4,0.4,2007-05-04 06:16:08.356284416,ExoClock literature
Shporer et al. 2009,-0.3,0.5,0.5,2007-05-04 06:15:26.356311040,ExoClock literature
Shporer et al. (2008),-0.576,1.2816,1.2816,2007-05-04 06:15:08.928000256,ETD
Shporer et al. (2008),-0.576,1.0368,1.0368,2007-05-04 06:15:07.199999744,ETD
Gillon et al. 2007,-0.0,1.4,1.4,2007-05-01 14:48:31.611458560,ExoClock literature
Shporer et al. 2009,-0.3,0.5,0.5,2007-05-01 14:48:13.611475712,ExoClock literature
Coughlin et al 2008,-2.592,2.5776,2.5776,2005-01-10 20:32:24.575999744,ETD
