name,priority,total_observations,recent_observations,ra_j2000,dec_j2000,v_mag,r_mag,gaia_g_mag,depth_mmag,duration_hours,t0_bjd_tdb,t0_unc,period_days,period_unc,current_oc_min,min_telescope_inches,expected_transit_snr_tess
WASP-89b,low,5,0,20:55:35.9893,-18:58:16.047,13.1,12.73,12.989,20.46,2.46,2456398.33771,0.00012,3.3564182,5e-07,-0.9,7.26,21.15
WASP-90b,low,10,0,21:02:07.6771,+07:03:22.517,11.7,11.251,11.456,7.12,3.39,2457003.152,0.0004,3.9162624,1.3e-06,1.3,8.84,20.19
WASP-91b,medium,2,2,23:51:22.8514,-70:09:10.276,11.98,11.366,11.624,19.09,2.36,2456297.71978,0.0002,2.798581,3e-06,-1.8,5.0,43.77
WASP-92b,low,25,3,16:26:46.0987,+51:02:27.892,12.92,12.89,12.818,14.94,2.8,2457627.3719,0.0003,2.1746733,6e-07,-0.2,7.82,16.72
WASP-93b,low,21,4,00:37:50.1100,+51:17:19.559,11.09,10.96,10.978,9.6,2.24,2457492.286,0.0003,2.7325358,7e-07,1.7,6.76,28.49
WASP-94Ab,medium,3,1,20:55:07.9445,-34:08:08.007,10.05,10.17,10.029,15.76,4.57,2456416.4022,0.0003,3.950191,4e-06,9.8,5.0,105.37
WASP-95b,medium,3,0,22:29:49.7357,-48:00:11.049,10.09,9.714,9.937,14.02,2.85,2456607.17355,0.00023,2.1846688,6e-07,0.0,5.0,79.31
WASP-96b,low,4,1,00:04:11.1376,-47:21:38.322,12.2,12.15,12.383,15.56,2.45,2457128.07797,0.00022,3.4252565,8e-07,0.7,5.7,22.42
WASP-97b,low,9,3,01:38:25.0566,-55:46:19.526,10.57,10.196,10.424,15.8,2.62,2457186.454,0.00015,2.07276,3e-07,-1.2,5.0,67.76
WASP-98b,medium,7,1,03:53:42.9206,-34:19:41.585,13.0,12.634,12.868,28.66,1.94,2456840.00365,8e-05,2.9626415,4e-07,0.78,6.95,27.2
WASP-99b,high,0,0,02:39:35.4435,-50:00:28.878,9.48,9.116,9.325,5.37,5.38,2456224.9832,0.0014,5.75251,4e-05,0.0,8.43,55.11
WASP-100b,medium,4,1,04:35:50.3302,-64:01:37.332,10.8,10.444,10.615,8.82,3.9,2458500.5573,0.00012,2.849383,2.1e-06,2.0,6.07,39.35
WASP-101b,medium,4,0,06:33:24.2672,-23:29:10.296,10.34,9.947,10.138,13.92,2.72,2456297.36537,0.00019,3.5857072,1.2e-06,-0.1,5.0,68.59
WASP-103b,low,22,1,16:37:15.5753,+07:11:00.119,12.1,11.971,12.193,17.76,2.67,2457132.47094,4e-05,0.92554544,8e-08,0.58,5.34,28.66
WASP-104b,low,34,10,10:42:24.6020,+07:26:06.294,11.12,11.3,11.593,16.44,1.78,2457048.59061,0.00016,1.755406,3e-07,-0.28,5.0,33.11
WASP-105b,medium,0,0,01:36:40.3525,-50:39:33.184,12.04,11.89,11.845,16.49,3.72,2456600.07728,0.0002,7.87288,1e-05,0.0,5.2,41.17
WASP-106b,medium,3,1,11:05:43.1363,-05:04:45.941,11.21,11.164,11.366,8.46,5.37,2456649.5505,0.0003,9.289715,1e-05,-7.1,6.79,30.22
